 Historic Royal Palaces Online guided tour;13;13
 Dunfermline Tours Website-based walking tours;14;15
 SENSEcity Walks Glasgow Walking tour app with AR;16;16
 Brilliant Tours, Liverpool Live walking tour and private car tours;17;19
 Outer Hebrides Trail Virtual tour using an app;20;21
 National Gallery, London Data analytics and visitor flow;22;22
 Glasgow Taxi Transport hygiene;23;23
 Fête des Lumières Festival mobile app;24;24
 Seafood from Scotland Online event;25;25
 Go Rural Livestreaming;26;27
 Salisbury Cathedral Virtual 360-degree tour;28;29
 Pitlochry Dam Virtual tour, progressive web app;30;30
 British Museum Virtual museum tours and podcast;31;32
 Peregrine Falcon's live streamLive webcam stream;33;34
 Buffalo River Pumpkin Patch 360-degree experience;35;35
 Royal Yacht Britannia Audio-guide handsets;36;36
 BrewDog Online Bar Online interactive event;37;37
 Master of Malt 360-degree virtual tour video;38;39
 Keukenhof Online videos, and 360-degree videos;40;40
 VisitBritain Virtual trade shows;41;41
 Street Buddha Tours, Lisbon Virtual walking tour;42;42
 Downtown CityMaps Visitor map using AR;43;45
 The Beatles Story Audio-guide handsets;46;47
 Scotland Starts Here Website, podcast and app;48;51
 Rock and Roll Hall of Fame Online ticketing, interactive exhibits;52;54
 Red Bus Bistro Online event;55;55
 Cinque Terre Card Destination pass and app;56;57
